ASIN,date,variant,stars,customer_review_text
B074KL49L7,5/9/2021,Silver,3,Macke--Beule im chrom ...so ein super Tisch
B074KL49L7,3/9/2021,Silver,5,Sehr gute preis und gute Qualität. Bin echt zufrieden.
B01M8I1S9K,1/1/2019,Copper,5,Ich liebe meinen Wihnzimmertisch
B01M8I1S9K,4/27/2018,Copper,1,Aufbau ging schnell doch dann sahen wir das bereits Kratzer im Glas waren und die Bronze Umrandung nicht gut verarbeitet war. Somit ging er leider wieder zurück...sehr schade
B074KL49L7,12/4/2019,Silver,5,Sieht gut aus.. leicht zu pflegen..
B074KL49L7,4/17/2020,Silver,1,Schrauben sind die falsch. Musste selber welche besorgen. Auf den Bildern sieht der Tisch qualitativ besser aus als in Wirklichkeit.
B01M8I1S9K,9/19/2018,Copper,5,Alles gut funktioniert Top
B074KL49L7,7/12/2018,Silver,4,"Sehr schöner tisch. Leider sehr sensibel. Wenn der Tisch kratzer abbekommt, sind diese sehr auffällig."
B074KL49L7,11/29/2021,Silver,5,Sehr schön und sehr leicht zum zusammenbauen
B01M8I1S9K,8/24/2018,Copper,4,"Sehr schöner filigraner Tisch.. Wurde sehr kompakt geliefert und war schnell aufgebaut.. Einziger Kritikpunkt sind die 4 metallenen Schrauben, die jedoch nur dem Aufbauenden auffallen.."
B074KL49L7,4/4/2021,Silver,1,In den Metall Füße sind leider die Löcher vergessen zu machen.Meun tisch steht immer noch wackelig im Geschäft.
B01M8I1S9K,2/12/2019,Copper,2,"Good qualiy but too high for my plans, I had to return it."
B074KL49L7,5/17/2020,Silver,5,Eine Beule am Metal Rand des Tisches
B01M8I1S9K,8/22/2018,Copper,5,Very good price and good quality came on Tim. Come us how it described shiny how it in photo. Thanks for high quality service.
B074KL49L7,4/14/2021,Silver,5,Sehr schöner Couchtisch. Sieht sehr edel und stabil aus. Kann ich nur empfehlen. Schneller Versand und sehr einfacher Aufbau.
B074KL49L7,3/13/2019,Silver,2,"Der Tisch sieht optisch total schön aus, leider fallen direkte und offensichtliche Mängel beim auspacken der Ware aufs"
B074KL49L7,2/12/2018,Silver,5,Ein sehr schöner stabiler Tisch. Durch dieses Milchglas einfach fresh! Kann ich voll empfehlen. Aufbau könnte besser beschrieben sein. Top
B074KL49L7,10/30/2021,Silver,5,Sehr schöner Tisch auch die Lieferung mega schnell
B074KL49L7,4/25/2022,Silver,5,Leichter Aufbau..
B074KL49L7,5/13/2021,Silver,5,Super schöner und stabiler Tisch!
B01M8I1S9K,10/26/2018,Copper,5,"Ein super schöner Tisch mit Kupfer, sieht sehr edel aus und ist sehr stabil. Bin begeistert"
B074KL49L7,3/28/2018,Silver ,5,Ich finde den Tisch super schön??sieht Edel und Modern aus.Hab auch denn gleichen in klein Bestellt...kommt morgen freu mich schon????
B074KL49L7,10/16/2021,Silver,1,Den Tisch nicht gefallen. Billig gemacht.
B01M8I1S9K,2/24/2022,Copper,3,Eksik vida parças? gönderdiniz
B074KL49L7,1/20/2020,Silver,4,Sehr schön
B074KL49L7,11/25/2020,Silver,5,Sehr gute Qualität!
B074KL49L7,1/12/2020,Silver,5,Sehr schöner Tisch
B074KL49L7,10/4/2019,Silver,5,Schöner Tisch für uns genau richtig.
B01M8I1S9K,3/22/2019,Copper,5,Sehr schön!
B074KL49L7,11/7/2018,Silver,1,Der Tisch ist okay Aber das Zubehör hat Mängel; Schrauben usw. Kann ihn deshalb nicht montieren; bitte um Zusenung
